3328,KABUPATEN TEGAL
3329,KABUPATEN BREBES
3371,KOTA MAGELANG
3372,KOTA SURAKARTA
3373,KOTA SALATIGA
3374,KOTA SEMARANG
3375,KOTA PEKALONGAN
3376,KOTA TEGAL
3401,KABUPATEN KULON PROGO
3402,KABUPATEN BANTUL
3403,KABUPATEN GUNUNG KIDUL
3404,KABUPATEN SLEMAN
3471,KOTA YOGYAKARTA
3501,KABUPATEN PACITAN
3502,KABUPATEN PONOROGO
3503,KABUPATEN TRENGGALEK
3504,KABUPATEN TULUNGAGUNG
3505,KABUPATEN BLITAR
3506,KABUPATEN KEDIRI
3507,KABUPATEN MALANG
3508,KABUPATEN LUMAJANG
3509,KABUPATEN JEMBER
3510,KABUPATEN BANYUWANGI
3511,KABUPATEN BONDOWOSO
3512,KABUPATEN SITUBONDO
3513,KABUPATEN PROBOLINGGO
3514,KABUPATEN PASURUAN
3515,KABUPATEN SIDOARJO
3516,KABUPATEN MOJOKERTO
3517,KABUPATEN JOMBANG
3518,KABUPATEN NGANJUK
3519,KABUPATEN MADIUN
3520,KABUPATEN MAGETAN
3521,KABUPATEN NGAWI
3522,KABUPATEN BOJONEGORO
3523,KABUPATEN TUBAN
3524,KABUPATEN LAMONGAN
3525,KABUPATEN GRESIK
3526,KABUPATEN BANGKALAN
3527,KABUPATEN SAMPANG
3528,KABUPATEN PAMEKASAN
3529,KABUPATEN SUMENEP
3571,KOTA KEDIRI
3572,KOTA BLITAR
3573,KOTA MALANG
3574,KOTA PROBOLINGGO
3575,KOTA PASURUAN
3576,KOTA MOJOKERTO
3577,KOTA MADIUN
3578,KOTA SURABAYA
3579,KOTA BATU
3601,KABUPATEN PANDEGLANG
3602,KABUPATEN LEBAK
3603,KABUPATEN TANGERANG
3604,KABUPATEN SERANG
3671,KOTA TANGERANG
3672,KOTA CILEGON
3673,KOTA SERANG
3674,KOTA TANGERANG SELATAN
5101,KABUPATEN JEMBRANA
5102,KABUPATEN TABANAN
5103,KABUPATEN BADUNG
5104,KABUPATEN GIANYAR
5105,KABUPATEN KLUNGKUNG
5106,KABUPATEN BANGLI
5107,KABUPATEN KARANG ASEM
5108,KABUPATEN BULELENG
5171,KOTA DENPASAR
5201,KABUPATEN LOMBOK BARAT
5202,KABUPATEN LOMBOK TENGAH
5203,KABUPATEN LOMBOK TIMUR
5204,KABUPATEN SUMBAWA
5205,KABUPATEN DOMPU
5206,KABUPATEN BIMA
5207,KABUPATEN SUMBAWA BARAT
5208,KABUPATEN LOMBOK UTARA
5271,KOTA MATARAM
5272,KOTA BIMA
5301,KABUPATEN SUMBA BARAT
5302,KABUPATEN SUMBA TIMUR
5303,KABUPATEN KUPANG
5304,KABUPATEN TIMOR TENGAH SELATAN
5305,KABUPATEN TIMOR TENGAH UTARA
5306,KABUPATEN BELU
5307,KABUPATEN ALOR
5308,KABUPATEN LEMBATA
